model,lambda,RMSE,MAE,Precision@10,Recall@10,NDCG@10
SVD_baseline,-,1.03,0.8214,0.6518,0.4262,0.7823
TemporalSVD_v2,0.1,1.0294,0.8223,0.6532,0.4271,0.7828
