모델,RMSE,MAE,Precision@10,Recall@10,NDCG@10,ILD
A+C,0.937,0.7413,0.7482,0.3531,0.8444,0.6771
A (TemporalSVD),0.938,0.7411,0.7495,0.3538,0.8438,0.675
A+B+C,0.9427,0.7457,0.7486,0.3533,0.8448,0.6676
A+B,0.9432,0.7453,0.75,0.3541,0.8437,0.665
C (TemporalNCF),0.9686,0.7686,0.7348,0.3503,0.8274,0.6862
B+C,0.9703,0.7702,0.7357,0.3504,0.8275,0.6755
B (CBF v2),1.1938,0.9573,0.6238,0.3215,0.7036,0.5277
